date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:10	95929/95929	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:07%20GMT	https://www.instrakventurecapital.com/	www.instrakventurecapital.com/www.instrakventurecapital.com/index.html	(from )
11:14:10	122/122	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Jan%202026%2003:14:07%20GMT	https://www.instrakventurecapital.com/robots.txt		(from )
11:14:11	2006/2006	---M--	200	added ('OK')	application/rss+xml	etag:%22c016626a1448cbb0cca7a4aa4ff72958%22	https://www.instrakventurecapital.com/feed/	www.instrakventurecapital.com/www.instrakventurecapital.com/feed/index.html	(from https://www.instrakventurecapital.com/)
11:14:11	1700/1700	---M--	200	added ('OK')	application/rss+xml	etag:%22c016626a1448cbb0cca7a4aa4ff72958%22	https://www.instrakventurecapital.com/comments/feed/	www.instrakventurecapital.com/www.instrakventurecapital.com/comments/feed/index.html	(from https://www.instrakventurecapital.com/)
11:14:11	2292/2292	---M--	200	added ('OK')	application/json	date:Mon,%2005%20Jan%202026%2003:14:09%20GMT	https://www.instrakventurecapital.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.instrakventurecapital.com%2F	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-json/oembed/1.0/embedb706.json	(from https://www.instrakventurecapital.com/)
11:14:12	2446/2446	---M-Z	200	added ('OK')	text/xml	date:Mon,%2005%20Jan%202026%2003:14:10%20GMT	https://www.instrakventurecapital.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.instrakventurecapital.com%2F&format=xml	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-json/oembed/1.0/embed45dc	(from https://www.instrakventurecapital.com/)
11:14:13	119695/119695	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2003:43:26%20GMT	https://www.instrakventurecapital.com/wp-includes/css/dist/block-library/style.min.css?ver=6.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/css/dist/block-library/style.mind4d0.css	(from https://www.instrakventurecapital.com/)
11:14:14	38540/38540	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Oct%202025%2013:28:02%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.95.3	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappressca1e.css	(from https://www.instrakventurecapital.com/)
11:14:15	1520/1520	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2018:00:41%20GMT	https://www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292e.css?ver=1.1.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/fonts/1c9fda7166f4313ca6a996d82bd9292ec5c9.css	(from https://www.instrakventurecapital.com/)
11:14:16	40481/40481	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Aug%202023%2021:47:08%20GMT	https://www.instrakventurecapital.com/wp-content/themes/dhor/style.css?ver=1.1.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/themes/dhor/stylec5c9.css	(from https://www.instrakventurecapital.com/)
11:14:17	59004/59004	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2003:43:27%20GMT	https://www.instrakventurecapital.com/wp-includes/css/dashicons.min.css?ver=6.9	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/css/dashicons.mind4d0.css	(from https://www.instrakventurecapital.com/)
11:14:18	50742/50742	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/css/common-style.css?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/css/common-style0e5f.css	(from https://www.instrakventurecapital.com/)
11:14:19	8420/8420	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/css/magnific-popup.css?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/css/magnific-popup0e5f.css	(from https://www.instrakventurecapital.com/)
11:14:20	10292/10292	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/templates/template-00/shortcode.css?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/templates/template-00/shortcode0e5f.css	(from https://www.instrakventurecapital.com/)
11:14:21	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2022:20:15%20GMT	https://www.instrakventurecapital.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.instrakventurecapital.com/)
11:14:22	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Aug%202023%2021:47:49%20GMT	https://www.instrakventurecapital.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.instrakventurecapital.com/)
11:14:24	16415/16415	---MC-	200	added ('OK')	application/json	date:Mon,%2005%20Jan%202026%2003:14:21%20GMT	https://www.instrakventurecapital.com/wp-json/wp/v2/pages/34	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-json/wp/v2/pages/34.json	(from https://www.instrakventurecapital.com/)
11:14:24	888/888	---M-Z	200	added ('OK')	text/xml	date:Mon,%2005%20Jan%202026%2003:14:22%20GMT	https://www.instrakventurecapital.com/xmlrpc.php?rsd	www.instrakventurecapital.com/www.instrakventurecapital.com/xmlrpc0db0.php	(from https://www.instrakventurecapital.com/)
11:14:25	13073/13073	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2019:30:30%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-INSTRAK-Logo-1-150x78.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-INSTRAK-Logo-1-150x78.png	(from https://www.instrakventurecapital.com/)
11:14:26	14031/14031	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202021%2019:30:30%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-INSTRAK-Logo-1.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-INSTRAK-Logo-1.png	(from https://www.instrakventurecapital.com/)
11:14:27	23311/23311	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jan%202026%2001:01:30%20GMT	https://www.instrakventurecapital.com/wp-content/plugins/chatbot/templates/template-00/style.css?ver=7.6.5	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/plugins/chatbot/templates/template-00/style0e5f.css	(from https://www.instrakventurecapital.com/)
11:14:27	224760/224760	---MC-	200	added ('OK')	application/json	date:Mon,%2005%20Jan%202026%2003:14:22%20GMT	https://www.instrakventurecapital.com/wp-json/	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-json/index.html	(from https://www.instrakventurecapital.com/)
11:14:28	13041/13041	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Aug%202022%2006:35:00%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-cropped-cropped-INSTRAK-Logo-1-1.png	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2021/01/cropped-cropped-cropped-INSTRAK-Logo-1-1.png	(from https://www.instrakventurecapital.com/)
11:14:29	33820/33820	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2008:06:39%20GMT	https://www.instrakventurecapital.com/wp-content/uploads/2022/07/360_F_332276875_i4cLGTFLBqAggLWymmloX858dg8sgR6F.jpg	www.instrakventurecapital.com/www.instrakventurecapital.com/wp-content/uploads/2022/07/360_F_332276875_i4cLGTFLBqAggLWymmloX858dg8sgR6F.jpg	(from https://www.instrakventurecapital.com/)
11:14:30	77961/77961	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:28%20GMT	https://www.instrakventurecapital.com/mission-vision-values/	www.instrakventurecapital.com/www.instrakventurecapital.com/mission-vision-values/index.html	(from https://www.instrakventurecapital.com/)
11:14:30	58684/58684	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jan%202026%2003:14:28%20GMT	https://www.instrakventurecapital.com/services/	www.instrakventurecapital.com/www.instrakventurecapital.com/services/index.html	(from https://www.instrakventurecapital.com/)
